81.6164;93.6164;88.6164;85.54419999999999;92.825;109.68059999999998;127.7488;140.0296;143.52700000000002;141.527;142.527;141.527|0
141.527;138.527;132.9522;124.95219999999999;124.523;129.23299999999998;140.3012;146.3012;145.86679999999998;142.0794;137.50459999999998;134.5046;134.9298;138.28279999999998;138.56359999999998;140.56359999999998;140.4192;140.70919999999998;141.7092;139.70919999999998;139.1396;141.1396;163.4296;175.4296;167.4296;156.4296;150.2892;149.2892;154.28920000000002;154.28920000000002;161.79179999999997;168.7918;167.7918;162.7918;161.36659999999998;160.3666;159.36659999999998;163.3666;160.3666;162.3666;162.0096;162.0096;163.51219999999998;163.51219999999998;164.5122;166.51219999999998;168.5122;168.5122;169.51219999999998;171.5122;171.5122;167.51219999999998;159.5122;152.5122;150.5122;156.5122;160.51219999999998;164.5122;167.51219999999998;166.51219999999998;166.51219999999998;168.0096;168.0096;166.00959999999998;164.5752;165.5752;164.5752;163.57520000000002;163.57520000000002;164.5752;159.5752;155.57519999999997;154.14600000000002;158.146;162.146;160.14600000000002;158.146;160.7208;166.2234;169.2234;170.2916;168.2916;162.0016;157.0016;155.0698;154.5672;151.27720000000002;152.2772;151.919;147.919;143.91899999999998;140.91899999999998;141.0634;141.919;141.1998;140.3402;139.3402;139.3402;140.1276;142.4176;146.9202;151.9202;149.2772;151.5672;152.499;153.499;156.64339999999999;158.146;157.5752;159.5752;160.5752|0
160.5752;160.86520000000002;160.86520000000002;160.00959999999998;159.0096;159.0096;160.3666;162.3666;162.8692;161.86919999999998;161.86919999999998;161.86919999999998;162.08700000000002;160.087;160.087;161.51219999999998;161.0096;160.00959999999998;159.0096;160.00959999999998;161.0096;161.0096;162.5752;165.5752;168.5752;166.5752;164.5752;161.57519999999997;159.5752;160.5752;164.5752;167.5752;170.146;170.0016;169.0016;167.0016;165.0016;164.0016;163.0016;163.14600000000002;161.146;160.7208;159.7208;157.72079999999997;157.72079999999997;158.7208;158.7208;158.3678;160.51219999999998;156.5122;155.51219999999998;156.08700000000002;158.087;159.08700000000002;160.1592;161.1592;159.1592;159.1592;159.1592;161.1592;163.3036;159.0136;155.0136;155.3036;156.1592;157.1592;157.1592;157.8692;157.8692;155.86919999999998;153.8692;152.8692;150.86919999999998;150.86919999999998;152.8692;153.3666;151.3666;147.3666;143.51100000000002;141.51099999999997;143.51100000000002;148.0136;148.8692;147.8692;147.8692;147.8692;144.86919999999998;140.86919999999998;139.0136|0
139.0136;140.0136;139.0136;137.7328;135.8772;132.23420000000002;128.2342;123.88119999999999;115.24739999999998;107.03479999999999;101.03479999999999;94.107;85.107;80.397;81.397;81.397;88.1844;94.18439999999998;96.1844;92.61479999999999;85.6148;87.9048;119.4756;161.1094;164.2418;157.0934;153.22979999999998;154.3702;156.29399999999998;159.8596;164.0;163.71;159.2074;151.2074;148.777;149.77700000000002;148.42;148.42;152.7782;156.7782;162.7782;158.6338;155.1312;149.1312;142.5564;139.9856;141.1982;139.6274;139.13;138.2022;133.777;127.92139999999998;126.424;128.35580000000002;133.3558;138.5002;136.50019999999998;139.8572;136.8572;131.7902|0
131.7902;131.7902;134.5776;132.8676;129.7272;139.22979999999998;141.949;144.59599999999998;142.596;139.31519999999998;135.3152;130.9622;127.9622;132.7496;133.74960000000002;137.8218;141.8218;140.8218;138.82180000000002;139.74960000000002;142.74960000000002;142.81779999999998;140.1708;139.4516;140.22979999999998;141.37019999999998;142.0814;143.1496;144.8596;144.0;143.0;143.70999999999998;144.71;146.7782;145.2756;143.9856;144.98559999999998;137.1982;136.9082;133.4056;128.4056;127.0474;129.0474;128.75740000000002;126.75739999999999;130.32819999999998;131.3282;130.8256;134.82559999999998;137.82559999999998;134.82559999999998;130.7574;129.7574;136.04739999999998;140.55;142.0526;144.62740000000002;151.42000000000002;155.20739999999998;161.20739999999998|1
161.20739999999998;172.0722;179.2258;179.44759999999997;177.9502;177.8058;180.8058;183.80579999999998;182.09579999999997;177.95139999999998;178.9514;176.9514;176.5222;175.5222;175.23219999999998;173.2322;171.72959999999998;172.7296;175.08259999999999;175.08259999999999;175.08259999999999;176.08259999999999;176.08259999999999;176.08259999999999;174.57999999999998;173.58;172.57999999999998;170.58;167.0774;166.07739999999998;165.07739999999998;164.0774;163.07739999999998;163.07739999999998;162.07739999999998;163.07739999999998;161.5026;157.2808;154.77819999999997;149.9856;146.0538;146.97639999999998;142.4738;138.4738;134.1838;132.1838;129.1838;127.1838;125.18379999999999;125.18379999999999;123.32819999999998;123.32819999999998;122.96999999999998;120.97;117.97;115.97;115.7522;117.75219999999999;113.75219999999999;114.75219999999999;114.17739999999999;116.17739999999999;119.17739999999999;118.1774;117.7482;120.53559999999999;121.7574;126.55|1
126.55;134.6274;145.2074;154.07219999999998;160.14960000000002;163.0814;161.584;161.0814;161.0814;159.29399999999998;156.29399999999998;155.8596;156.8596;154.8596;151.0722;151.2796;143.2022;134.6996;131.6222;130.1196;127.8296;130.327;134.327;133.8296;133.1196;133.6222;133.6222;134.4096;133.4096;133.6222;132.6222;132.0514;133.0514;133.0514;131.0514;128.11960000000002;127.1196;123.8296;120.8296;120.327;118.327;116.75219999999999;115.17739999999999;115.17739999999999;115.17739999999999;114.17739999999999;113.39;114.38999999999999;117.747;118.74699999999999;114.747;112.17219999999999;110.6696;109.0988;106.0988;109.0988;109.0988;110.1722;112.747;117.17739999999999;118.1774;118.68;122.7574;131.4096;139.77700000000002|1
139.77700000000002;146.2796;148.0722;150.004;152.294;148.29399999999998;140.004;143.07219999999998;138.78220000000002;132.27960000000002;127.77699999999999;125.13;125.13;125.98559999999999;127.13;127.77699999999999;128.77700000000002;129.777;130.2022;130.0526;127.54999999999998;124.1196;121.8296;117.327;115.327;113.1814;110.3258;108.82319999999999;109.9676;113.9676;115.96759999999998;113.39399999999999;109.1814;106.4714;110.5488;117.40959999999998;124.20219999999998;134.77700000000002;149.7822|1
149.7822;151.0;152.99999999999997;151.85559999999998;150.8556;151.28080000000003;152.2808;149.7782;144.55639999999997;137.118;131.18619999999999;126.1862;126.3306;129.1902;134.4802;142.412;148.5564|0
148.5564;151.2756;149.2756;141.13;131.4096;121.5488;112.4714;103.8232;102.03580000000001;100.8232;103.61579999999998;112.5488;125.554;138.777|0
