59.1402;55.5064;56.7872;57.7872;57.642799999999994;63.9184;64.9866;77.6926;83.32639999999999;84.89320000000001;94.0244;96.8748;94.30120000000001;99.86679999999998;102.8668;103.07939999999999;113.00719999999998;112.8628;106.0072;102.8628;102.07939999999999;101.8668;101.8668;103.1556;106.73039999999999;102.08860000000001;101.37859999999999;101.9522;107.95219999999999|0
107.95219999999999;109.9522;103.9522;100.95219999999999;103.523;109.88119999999999;114.7368;111.65939999999999;117.65939999999999;117.0886;117.3012;118.15679999999999;118.5098;116.50979999999998;115.3654;118.221;119.36540000000001;115.08459999999998;114.44279999999999;121.30359999999999;122.58959999999999;121.65780000000001;122.2234;118.7208;121.14599999999999;122.5752;121.14599999999999;120.5752;124.8652;125.0096;117.3666;113.0096;114.8652;112.7196;111.71959999999999;116.22099999999999;118.3654;116.22099999999999;115.79180000000001;116.5752;117.21699999999998;119.42960000000001;114.9952;115.56599999999999;113.14080000000001;115.78779999999999;115.21699999999998;112.78659999999999;115.43359999999998;115.8628;112.8628;113.86280000000001;114.78659999999999;116.42960000000001;112.28519999999999;105.637;106.9952;109.9952;111.20779999999999;109.06219999999999;109.9166;109.06219999999999;107.637;107.06219999999999;108.20779999999999;114.56599999999999;117.71159999999999;119.71159999999999;122.71159999999999;122.71159999999999;121.499;122.49900000000001;124.146;127.146;126.146;128.0016;120.0016;117.8572;119.85719999999999;118.49900000000001|0
118.49900000000001;114.499;119.29159999999999;120.87159999999999;125.80339999999998;124.9478;127.16959999999999;127.45959999999998;127.16959999999999;118.24179999999998;117.2418;118.24179999999998;118.24179999999998;118.24179999999998;120.2418;118.67099999999999;119.671;119.671;117.67099999999999;123.67099999999999;122.671;119.671;121.24179999999998;120.2418;119.24180000000001;123.2418;119.7392;116.24180000000001;116.8166;120.46359999999999;118.4636;119.46359999999999;116.3192;117.31919999999998;114.8166;116.24180000000001;119.24180000000001;123.2418;123.2418;124.16959999999999;124.16959999999999;123.2418;125.24179999999998;123.67099999999999;123.67099999999999;120.961;120.46359999999999;119.46359999999999;122.9622;123.3192;121.9662;116.3954;113.5398;115.8928;114.46360000000001;113.9662;112.8928;110.39539999999998;115.3954;113.8928;112.8928;113.10539999999999;112.67099999999999;114.67099999999999;115.8836;113.8836;108.88359999999999;103.3128;103.3128;100.3128;99.31280000000001;99.738;98.2354;99.2354;100.2354;102.2354;103.23539999999998;100.091;97.5936;94.5936|0
94.5936;99.15919999999998;115.6618;128.667;125.02519999999998;124.02519999999998;124.59599999999999;128.1708;126.17079999999999;128.67340000000002;130.7496;133.6734;134.67340000000002;129.8178;128.1708;127.17079999999999;128.596;128.3152;129.3152;127.31519999999998;125.4596;122.961;121.89280000000001;120.8928;122.3954;121.5398;122.3954;123.96619999999999;123.82179999999998;121.9662;118.9662;119.3954;123.39540000000001;122.3954;124.3954;126.96619999999999;128.53979999999999;127.89279999999998;128.46359999999999;125.10539999999999;124.16959999999999;125.02519999999998;121.02519999999998;123.0252;121.16959999999999;119.671;123.961;121.4636;124.46359999999999;125.4636;122.3954;127.3954;123.39540000000001;121.3954;119.3954;117.82979999999999;116.18679999999999;111.04119999999999;107.0412;107.1856;106.1856;110.1856;104.0412;100.04119999999999;106.3312;107.47559999999999;112.3312;116.3312;119.18679999999999;116.18679999999999;113.18679999999999;116.5398;121.3954;122.3954;118.1054;117.88359999999999;118.67099999999999;118.44919999999999;123.2418;125.961;123.67099999999999;121.67099999999999;118.59359999999998;117.44919999999999;112.44919999999999;110.4492;110.091;109.6618;104.6618|0
104.6618;105.7392;105.44919999999999;106.6618;103.4492;101.8836;107.96099999999998;114.3954;118.53979999999999;118.8298;112.6172;116.9072;113.7628;115.18799999999999;117.68539999999999;120.3954;118.3954;120.5398;120.3954;120.3954;118.53979999999999;118.53979999999999;116.3954;110.39539999999998;111.3954;111.3954;112.53979999999999;110.18679999999999;108.18679999999999;113.18679999999999;113.18679999999999;105.8968;105.8968;106.04119999999999;106.3312;106.83379999999998;107.553;108.4074;106.4074;105.553;105.05559999999998;104.4086;100.40859999999999;105.40859999999999;109.40859999999998;108.263;107.8338;110.18679999999999;112.82979999999998;112.10940000000001;109.03719999999998;110.89279999999998;110.89279999999998;110.89279999999998;110.89279999999998;108.3954;102.9662;105.8218;108.9662;107.96619999999999;112.3192;116.8166;123.961;122.671;121.44919999999999;117.44919999999999;113.09219999999999;110.6578;116.22339999999998;119.2234;117.72080000000001;112.64339999999999;109.64339999999999;106.64339999999999;103.28519999999999;99.2852;100.28519999999999;100.4296;99.2892;100.7918|0
100.7918;99.00959999999999;101.6578;113.4452;125.94779999999999;128.016;124.8034;122.949;125.3072;127.51979999999998;121.44760000000001;123.51979999999999;122.949;119.45159999999998;124.45159999999998;124.30719999999998;123.3072;125.3072;128.9502;134.9502;134.9502;135.9502;138.4476;130.7284;126.2258;126.2258;131.584;131.584;128.584;126.58399999999999;124.584;126.58399999999999;123.7284;119.7284;120.58399999999999;119.2258;120.3702;112.8716;116.016;126.4452;124.58959999999999;116.08699999999999;112.00959999999999;109.0136;104.7918;104.22099999999999;98.511|1
98.511;93.8692;97.091;102.51219999999999;112.51339999999999;121.87159999999999;121.7272;121.15759999999999;124.7284;133.7284;136.7284;134.7284;133.7284;135.1576|0
135.1576;135.3742;139.016;133.4452;116.6578;105.51339999999999;108.51339999999999;109.4452;114.2378;126.23780000000001;120.8034;123.596;124.74159999999999;125.45159999999998;126.4516;125.37419999999997;121.37419999999999;115.01599999999999;114.6578;112.8652;109.1408;109.64339999999999|0
109.64339999999999;104.71159999999999;99.6434;101.28519999999999;109.6578;117.5134;119.22980000000001;125.9502;126.8676;121.7272;119.6458;116.3558;111.56719999999999;105.42159999999998;105.56599999999999;95.99520000000001;92.1396;93.13959999999999;98.78659999999999;98.93099999999998;95.78659999999999|0
95.78659999999999;94.43360000000001;101.0096;111.087;121.01599999999999;123.80340000000001;130.016;133.016;129.5134;126.72079999999998;128.5752;119.2892;96.07539999999999;89.50460000000001|0
89.50460000000001;95.0794;90.0794;82.08460000000001;89.2354;102.2354;115.59359999999998;122.667;121.4452;121.01599999999999;127.016;123.87159999999999;118.87159999999999;121.58959999999999;122.08699999999999;116.51219999999999;104.36659999999998;94.86280000000001|0
